review_id,comment_id,original_sentence,cleaned_sentence,sentence_embedding,food and drinks,people,place,opinions
8,27,For £10.50 you can get mapo tofu with chicken wings.,10 50 get mapo tofu chicken wings,"[-0.07019416  0.02069781 -0.02678808 -0.0956713   0.06103926 -0.02278535
 -0.04082518  0.02991612  0.04004206 -0.10122703 -0.18857576 -0.01374146
 -0.69510783 -0.04903175  0.03635832  0.00620403  0.11662468 -0.22644012
  0.03309248 -0.07533516 -0.10322473  0.0879718   0.0963924  -0.02273949
  0.02922196  0.12274861  0.02129238  0.04223539  0.10227088 -0.19082323
  0.06753383  0.12795065 -0.16385573 -0.03721367 -0.01325575 -0.02400221
  0.02544853 -0.12037898  0.1385861   0.21513709 -0.06638722 -0.13055792
 -0.03022198 -0.13382052  0.17706083  0.18751763  0.18012316 -0.03861132
  0.03569563  0.07748331]",1,0,1,0
12,1,"10 Tib Lane, Manchester M2 4JB",10 Tib Lane Manchester M2 4JB,"[-0.0745522   0.00171157  0.04694189 -0.21272285 -0.16397661 -0.07926608
  0.10452264  0.05927138 -0.00750755 -0.03107517  0.20924992 -0.03429418
 -0.67434997 -0.12286672  0.04122543 -0.13045378 -0.0149818   0.04881402
 -0.05041414 -0.0154881   0.13836161 -0.13714334 -0.07441033 -0.21574265
 -0.03145328 -0.01283426  0.0998946  -0.14235002 -0.11364377 -0.03484398
  0.09532794 -0.05511307  0.18071178 -0.08362674  0.23256362  0.00288745
 -0.01188792  0.02501925  0.05415908  0.06695677 -0.18856287  0.09457715
  0.01226764 -0.00124962 -0.07694338  0.09279099 -0.13744347 -0.11589401
  0.13493218 -0.01077932]",0,0,1,0
2,34,"They have 11 cask ales and craft beers, mostly drawn from regional breweries, and a serviceable wine list",11 cask ales craft beers mostly drawn regional breweries serviceable wine list,"[ 0.00853555 -0.00579159  0.03298222  0.09636429  0.23731458  0.06628638
  0.06217394 -0.23068709  0.04200588 -0.190849   -0.10796462 -0.04422292
 -0.62748335  0.06106708  0.10359063 -0.01509714  0.14384807 -0.07534974
  0.07223723  0.06464621 -0.03591857 -0.01876327  0.05462044 -0.19145053
  0.03402787  0.25106569 -0.06404194 -0.04511709 -0.01873382 -0.06864955
  0.27551144  0.09944819 -0.01535476  0.09151585  0.15665121 -0.08109232
  0.01747169  0.16279175  0.12047791  0.19876716  0.0263718   0.13226909
  0.06000517  0.03759586  0.12244794  0.06605601 -0.01051341 -0.04242636
 -0.08754275  0.02397895]",1,0,1,0
17,13,£110 a head?,110 head,"[-4.35838006e-02 -6.62141747e-02  8.22773238e-02 -1.65547445e-02
  4.48612363e-02  1.58083427e-03  9.53792062e-02  1.34530553e-01
 -2.81688020e-03  3.93553901e-02  3.86352241e-02  9.41017704e-02
 -7.84381495e-01 -1.44504865e-01  2.64352602e-02 -6.26596399e-02
 -3.64970164e-02 -5.97138161e-02 -6.94652124e-02 -2.35048672e-01
 -1.34461965e-01  5.06362854e-02  9.97602216e-02  3.18948085e-02
  4.83780480e-02  1.60967526e-01 -5.20440403e-02  4.87895736e-02
 -6.48372851e-02  9.28689163e-02 -9.18349585e-02  2.42010277e-02
 -6.50464793e-02 -5.19874556e-02  1.83505311e-02  6.23527139e-02
  5.67525611e-03  9.64800349e-02  9.39045802e-02  9.80798397e-02
 -1.07635762e-01  8.94361204e-02  2.66547378e-04  1.40938326e-01
  1.54017923e-01 -5.59380833e-02  1.63772753e-01  2.81482266e-02
  8.99453776e-02  1.09930007e-01]",0,0,1,0
9,6,"111 Cleveden Road, Kelvinside, Glasgow G12 0JU (0141 334 0111)",111 Cleveden Road Kelvinside Glasgow G12 0JU 0141 334 0111,"[-7.78592108e-03 -2.41861718e-04 -5.70323740e-03 -2.75697943e-01
 -5.85002490e-02 -3.73411720e-02  4.36391754e-02  5.11165465e-02
  4.02199824e-02  1.48243278e-02 -1.91330594e-02  7.21346464e-03
 -7.50109263e-01  1.71182662e-02  9.86451397e-02  1.99253874e-02
  5.42358160e-02 -4.89667857e-03 -1.92376220e-01  1.29020518e-01
  4.77033703e-02 -4.66136598e-02 -5.52231032e-02 -4.23790872e-02
  5.39819280e-02 -6.55063968e-02 -2.17641328e-02  4.51075772e-02
  9.97422003e-03  5.20862647e-02  1.11430085e-01 -9.99018668e-03
  1.16317680e-01 -5.63034734e-03  1.73472765e-01  1.68093252e-02
 -1.01381770e-01  4.68936046e-02 -5.69660337e-02  9.42130711e-02
 -3.14485202e-01  1.81342824e-01  5.39159865e-02  7.31047658e-02
 -9.01166177e-02  5.79256649e-02  1.33517853e-02 -1.19377687e-01
  1.03993602e-01 -5.45269172e-02]",0,0,1,0
25,12,"The £12 salade niçoise is a pleasingly dense, chopped affair, with a pretty arrangement of anchovies and tomatoes, topped by half a boiled egg, its yolk at a perfect state of jamminess",12 salade niçoise pleasingly dense chopped affair pretty arrangement anchovies tomatoes topped half boiled egg yolk perfect state jamminess,"[ 1.14382382e-02 -1.10920385e-01  7.76138873e-02  6.39176460e-02
  1.18074273e-01  2.44305010e-03 -5.83857042e-02 -1.26163652e-01
  2.73733896e-03 -1.04886238e-01 -6.31496588e-02 -9.17593855e-02
 -7.08329545e-01 -5.00242876e-02  5.04574794e-02  1.61888591e-02
  1.69762986e-01 -1.48493211e-01  1.25404641e-02 -4.31457132e-02
 -7.76455461e-02  2.01227470e-02  2.86245771e-02 -1.21062329e-01
  8.33226120e-02  2.85946060e-01 -7.93718660e-02  5.99737476e-04
 -1.17584520e-02 -4.61575144e-02  1.02602051e-01  2.00733794e-01
 -3.70853377e-02 -1.20515706e-01 -6.28516531e-02 -1.30597107e-01
 -3.84386282e-02 -1.89170060e-02  1.18752585e-01  1.83628819e-01
  2.44927396e-03 -1.84997976e-01 -8.90164585e-03 -7.05194363e-02
  1.45549423e-01  7.96997335e-03  1.56250075e-01  5.17637521e-02
 -3.84642232e-02  1.23139769e-01]",1,0,0,1
11,4,"15 Peckham Park Road, London SE15 6TR and Walworth and Greenwich",15 Peckham Park Road London SE15 6TR Walworth Greenwich,"[-0.03387071 -0.06237549  0.01780606 -0.28081389  0.00694539 -0.07108876
  0.03552787  0.00316423  0.016487   -0.20871714  0.07089317 -0.12713961
 -0.65486701  0.07136595  0.16766447 -0.15259627  0.02148961  0.04584938
 -0.06109841  0.02025823  0.17455369 -0.1832311  -0.07921127 -0.12547571
 -0.02778331 -0.12299557 -0.03661213  0.01341396 -0.02953355 -0.04518001
  0.21598674 -0.03786369  0.10607301 -0.04519403  0.03732395 -0.01683534
 -0.05189026  0.12678814  0.10573541 -0.01531699 -0.20257035  0.12234415
 -0.03334161  0.07709973 -0.02902652  0.20187401  0.07583448 -0.12917489
  0.15029458  0.05504091]",0,0,1,0
9,10,"When he was 18, he came alone to Glasgow in search of something better",18 came alone Glasgow search something better,"[-0.01353354  0.09290767  0.00839409 -0.06564135  0.00309162  0.0326027
  0.21845297 -0.00610049  0.01016189  0.02031586  0.02247936 -0.02304283
 -0.92294813 -0.03392803  0.00937087  0.01889854  0.02265098 -0.05757635
 -0.12092869 -0.06773595  0.06857056 -0.0660053  -0.06361224  0.02633643
 -0.01061694  0.08816467  0.00509663 -0.01604792  0.06778572 -0.01780973
 -0.00463215  0.00197827 -0.00558432 -0.05966274  0.06624255  0.04991623
  0.01417019 -0.00905472  0.00176218  0.01626379 -0.07330732  0.09407349
  0.0440158  -0.01347726  0.03645607 -0.0092061  -0.00390125 -0.00918086
 -0.0551743   0.03355623]",0,1,1,0
22,31, at £19 and three at £23,19 three 23,"[ 0.04279059  0.02841104  0.0964856   0.02583295  0.09461975  0.01504192
  0.15113505 -0.00301639 -0.13652944 -0.08391986  0.10715678 -0.08975062
 -0.76090497  0.11144103  0.0208472  -0.0163568   0.01619354 -0.14333798
 -0.04028964  0.01614923  0.02260002  0.1156051   0.0890886  -0.2524808
 -0.0471197   0.12716973 -0.14552855 -0.07688348  0.09436499  0.00102514
  0.08749725  0.05542629  0.00772333  0.14351021  0.11191827  0.04716994
 -0.02270766  0.0366369   0.06125346 -0.08467696 -0.13714123  0.03593362
 -0.0645133  -0.00751701  0.10522815 -0.16319305 -0.07325944 -0.04724529
  0.00083638  0.16389813]",0,0,1,0
9,11,He had just £200 and at first slept rough.,200 first slept rough,"[-0.03832102  0.05805328  0.1750045  -0.03016965 -0.04719188  0.0218272
  0.20204492 -0.03146376 -0.1009019   0.00914914 -0.08389222 -0.07150589
 -0.79992958  0.04513172 -0.00406143  0.00128372  0.04044913 -0.06765583
 -0.21274471 -0.06739874 -0.01868995  0.08760121  0.06594936 -0.11475105
  0.00613065  0.19198561 -0.08661577 -0.0816112   0.0019053   0.08746608
 -0.01645145  0.09347554  0.05850697 -0.02881408 -0.00606807  0.06580371
 -0.05157543  0.02990127  0.08915046  0.07987114 -0.04438881  0.07028712
  0.1566191   0.05116463  0.08878179 -0.05660808  0.05015789 -0.00484727
 -0.12964001  0.12033615]",0,1,1,0
