review_id,comment_id,original_sentence,cleaned_sentence,sentence_embedding,codes,themes,food and drinks,place,people,opinions
0,0,"Toot, a Persian place in Plymouth",Toot Persian place Plymouth,"[-2.12729990e-02 -1.97641604e-02 -2.93877974e-03 -5.54819882e-03
 -4.36809993e-02 -2.56965998e-02  1.66721396e-02 -3.85192001e-02
  2.55209994e-02 -3.01659945e-03 -5.42580404e-02 -1.57263991e-02
 -1.86758006e-01 -1.49608198e-02  3.08216000e-02 -1.91356792e-02
  2.03119934e-03 -1.16210797e-02 -2.77456000e-02  2.95780003e-02
  1.56477402e-02 -3.27250007e-02  2.80442205e-02 -2.10350001e-02
  8.71357936e-03  4.34867990e-02 -1.06536013e-02  2.68588004e-02
  1.35422601e-02 -1.87468995e-02  5.54049975e-02  8.48007202e-05
  1.55065808e-02 -1.77100006e-02  3.85439999e-02  6.26925960e-03
  5.23400009e-04  4.49963996e-02  3.64307991e-02 -5.30199975e-03
  9.73896034e-03  7.13199079e-04 -2.61747397e-02  2.36325404e-02
 -1.21347006e-02  5.72831988e-02  3.94477996e-02 -4.50740010e-03
  4.61181998e-02  5.07744811e-02]",location,place,0,1,0,0
0,1,"Toot, 46 Mayflower St, Plymouth PL1 1QX (01752 223736).",Toot 46 Mayflower St Plymouth PL1 1QX 01752 223736,"[-0.0247898  -0.0034432   0.01099002 -0.0379434  -0.0406102  -0.02056588
  0.00772354 -0.0237952   0.0190806  -0.0132866  -0.0204775   0.01019832
 -0.1463388  -0.00392662  0.0330554   0.00285492  0.0003044   0.0076416
 -0.027263    0.0440028   0.0175228  -0.0189718   0.02752102 -0.0402212
 -0.00118017  0.0207678   0.015883    0.0172212   0.01154674  0.0122304
  0.0848558  -0.0047808   0.01912366 -0.0056552   0.0297806   0.01162106
 -0.03387068  0.0648848   0.0449928   0.01749742  0.0094112   0.0161514
 -0.02864402  0.010614   -0.02129502  0.0414796   0.00687116 -0.03785542
  0.0444726   0.0693272 ]",location,place,0,1,0,0
0,2,"Shortly after the starters had been cleared at Toot in Plymouth, plates of individual butter portions were placed on the table",Shortly starters cleared Toot Plymouth plates individual butter portions placed table,"[ 0.0116616  -0.03950012  0.03218082 -0.01507674  0.08525452 -0.017075
  0.01713342 -0.05304228  0.0154368  -0.0884504   0.02743944 -0.03625688
 -0.499976   -0.01936646  0.03590542  0.08079552  0.0503964  -0.07200284
 -0.00355258 -0.0541544  -0.0560068  -0.0485882   0.06298742 -0.0927952
 -0.06426302  0.14102552 -0.0094498  -0.00082742 -0.01652466  0.03132896
  0.12966206  0.04542264 -0.02548896 -0.02756564  0.06879304 -0.06249696
 -0.03179002  0.0666268   0.07363312  0.08502774  0.1047406   0.0583364
  0.04062376 -0.0143114   0.06969606 -0.00164272  0.0352558  -0.03020862
  0.06675116  0.09790911]",starters,food and drinks,1,0,0,0
0,3,in a seaside B&B,seaside B B,"[-0.01564172  0.0135698   0.0270664  -0.0293552  -0.00559694 -0.0009692
 -0.0096974   0.0148668  -0.0068818   0.0116256  -0.0219252  -0.0176659
 -0.169344    0.0181982  -0.0061558  -0.0288542  -0.0395788  -0.008606
 -0.00952728  0.0704658   0.02339412 -0.0123334   0.01329968  0.0136572
  0.0022514  -0.0260448  -0.0309302   0.00446222  0.0252916   0.0007064
  0.01540384 -0.039316    0.0053938   0.015422    0.044414   -0.0063866
 -0.0036622  -0.003113   -0.0057476   0.0212644  -0.115674    0.02002442
  0.0340656  -0.01894    -0.010374    0.0213248   0.01176756 -0.0392314
  0.00808072  0.0031748 ]",location,place,0,1,0,0
0,4,We were in a Persian restaurant,Persian restaurant,"[-1.39719993e-03  3.97699982e-03  1.49620026e-03  6.83699965e-03
 -3.12600017e-03 -1.63124001e-02 -8.92439991e-03 -2.88305998e-02
  2.31135994e-02 -2.95765996e-02 -4.36054003e-02 -2.80267996e-02
 -9.04840016e-02  9.74002481e-05  2.79928005e-02 -2.00732008e-02
  2.05103993e-02 -1.53428000e-02  2.22620010e-03  5.71799994e-03
  4.51174006e-03 -2.86903992e-02  1.17179990e-03 -3.77616000e-02
  2.91859996e-02  2.74481591e-02 -2.39128412e-02 -8.81400108e-04
  1.58776003e-02 -3.89569986e-02  7.95419991e-03  3.05400014e-03
 -1.95412201e-02 -2.12526006e-02  1.82944000e-02 -2.37133998e-02
  2.32914001e-02  1.88984001e-02  2.72432005e-02 -1.05644000e-02
 -1.49512403e-02 -4.19040024e-03 -2.01269002e-02  2.71208788e-03
  1.90688995e-02  4.39639997e-02  3.82524002e-02  2.91920006e-03
  4.82304007e-03 -3.88311997e-03]",background,place,0,1,0,0
0,5,We were in a Persian restaurant and the rice was coming.,Persian restaurant rice coming,"[ 0.0016818  -0.0016624   0.01760324 -0.0188436   0.0111972  -0.0078834
 -0.0018718  -0.0070286   0.03179082 -0.0520468  -0.0502662  -0.03886705
 -0.247984    0.0012078   0.0332796  -0.0184372   0.0189498  -0.03750164
 -0.000319    0.00288172 -0.01983696 -0.036672    0.0028162  -0.03408922
  0.0336674   0.05181656 -0.0197251  -0.0111078   0.0297034  -0.05714218
  0.0172496   0.023836   -0.06115962 -0.022933    0.020634   -0.02352206
  0.01662248  0.02476968  0.05308688  0.0168322  -0.03146824 -0.01280988
 -0.0147707   0.00222409  0.0447429   0.05683664  0.04978524 -0.016467
 -0.00135647  0.01818428]",middle-eastern,food and drinks,1,0,0,0
0,5,All hail the Persian way with rice,hail Persian way rice,"[ 0.0104928  -0.01645658  0.0356762  -0.00365536 -0.0157058   0.0110638
  0.0030596   0.0096076   0.01137862 -0.02008594 -0.0441546  -0.0273462
 -0.251744   -0.0199062   0.0380844  -0.01827138  0.026523   -0.0252094
  0.0187623   0.0054002  -0.02875006  0.0024508   0.024454   -0.0221692
  0.0303652   0.0620162  -0.01802456  0.0236132   0.0343938  -0.00925522
  0.0322216   0.03688498 -0.02798114  0.0037042   0.0112559   0.00195644
 -0.0051994   0.01564372  0.03316672  0.0204366  -0.01648124 -0.04115
  0.00353406 -0.011565    0.00925534  0.0397456   0.0390472   0.0077522
  0.00849989  0.04878808]",middle-eastern,food and drinks,1,0,0,0
0,6,"that light, fluffy miracle of individual grains, made all the more luscious through the liberal application of butter.",light fluffy miracle individual grains made luscious liberal application butter,"[-0.0235722  -0.0907183  -0.043937    0.07356268  0.09505052  0.0526918
  0.0260304  -0.04927514 -0.0183951  -0.06073646 -0.06027562 -0.035734
 -0.55266999  0.00295066 -0.0089237   0.0365558   0.0789908  -0.0091092
  0.079933   -0.0209156  -0.0963898  -0.00305676 -0.00705638 -0.05708246
 -0.0076872   0.121437   -0.0425462   0.06583792  0.0076517  -0.0311174
  0.04152215  0.0186776  -0.016915   -0.0709372   0.0229746  -0.00655418
 -0.02953     0.0042654   0.05583098  0.0999692  -0.04614136 -0.09611778
 -0.01388158 -0.01978312  0.04731064 -0.01881568  0.0722832   0.02842592
 -0.01343513  0.0181502 ]",presentation,food and drinks,1,0,0,0
0,6,"Plates are placed in front of us, the snowy peaks stained a light saffron-yellow.",Plates placed front us snowy peaks stained light saffron yellow,"[-0.0728234  -0.12249456  0.09458936  0.0420774   0.029326    0.00061914
  0.0682297  -0.05135858  0.0179625  -0.07846622  0.0064923  -0.01860712
 -0.556988    0.0075025   0.01649998  0.0243847   0.04326966 -0.04715822
  0.05072692 -0.0011221  -0.087263   -0.0571668   0.00806322 -0.0963976
 -0.00746594  0.11586494 -0.1021144   0.0840676  -0.00854776  0.0387233
  0.08756178  0.07876536  0.03565537 -0.04928944  0.0883045  -0.04024658
 -0.0381386   0.0974628   0.065944    0.08956422  0.00722974  0.0366098
 -0.0147018  -0.01074144  0.02210682  0.03022276  0.0551901   0.01862974
  0.0591265   0.07616684]",presentation,food and drinks,1,0,0,0
0,7,Our waiter encourages us to apply the butter.,waiter encourages us apply butter,"[ 0.018238    0.0161194  -0.01104704  0.0324492   0.01022406  0.03482756
  0.02740818 -0.02245546  0.04050538 -0.0278562  -0.07147148 -0.03305906
 -0.291008   -0.03239306 -0.0018268   0.0728762   0.0240648  -0.03544084
  0.0397155  -0.03537024 -0.0072414  -0.01932372 -0.02233446 -0.0038148
 -0.0092126   0.0745718   0.0621704   0.0204534   0.0265784  -0.0279281
  0.04349998 -0.00454884 -0.0160814  -0.040659    0.0137462  -0.0149858
  0.02485298  0.0385618   0.02022336  0.01339794 -0.00254769  0.0069484
 -0.026439   -0.0081268   0.0454132  -0.0337883  -0.0039578  -0.0190392
 -0.0028974   0.017942  ]",service; presentation,food and drinks; people,1,0,1,0
